mobile_name,mobile_price,mobile_color,_sim,disp_size,resolution,os,num_cores,_speed,int_memory,ram,p_cam,f_cam,network,bluetooth,battery_power,mob_width,mob_height,mob_depth,mob_weight
RedmiNote7S(AstroMoonlihtWhite32),9999.00,AstroMoonlihtWhite,Sim,16,2527200,AndroidPie9,OctaCore,2.2,32,3,485,13,2,Yes,4000,75.21,159.21,8.1,186
Mi10(Coralreen256),55400.00,Coralreen,Sim,16.94,2527200,AndroidPie10,OctaCore,2.84,256,8,108,20,4,Yes,4780,74.8,162.58,8.96,209
RedmiNote5Pro(Black64),13999.00,Black,Sim,15.21,2332800,AndroidNouat7.1.2,OctaCore,1.8,64,6,125,20,34,Yes,4000,75.35,158.58,8.05,181
RedmiNote5Pro(Roseold64),16999.00,Roseold,Sim,15.21,2332800,AndroidNouat7.1.2,OctaCore,1.8,64,6,125,20,34,Yes,4000,75.35,158.58,8.05,
RedmiNote5Pro(Red64),12999.00,Red,Sim,15.21,2332800,AndroidNouat7.1.2,OctaCore,1.8,64,4,125,20,34,Yes,4000,75.35,158.58,8.05,181
MiA2(Red64),13999.00,Red,Sim,15.21,2332800,AndroidOreo8.1,OctaCore,2.2,64,4,2012,20,3,Yes,3010,75.4,158.7,7.3,168
RedmiNote5Pro(old64),17999.00,old,Sim,15.21,2332800,AndroidNouat7.1.2,OctaCore,1.8,64,6,125,20,34,Yes,4000,75.35,158.58,8.05,181
MiA2(Blue/LakeBlue64),13999.00,Blue/LakeBlue,Sim,15.21,2332800,AndroidOreo8.1,OctaCore,2.2,64,4,2012,20,3,Yes,3010,75.4,158.7,7.3,168
Redmio(Blue16),6700.00,Blue,Sim,12.7,921600,AndroidOreo8.1,QuadCore,1.4,16,1,8,5,3,Yes,3000,70.1,140.4,8.35,137
RedmiNote4(old64),13999.00,old,Sim,13.97,2073600,AndroidMarshmallow6.0.1,OctaCore,2,64,4,13,5,34,Yes,4100,76,151,8.4,165
Redmi8A(SkyWhite32),8499.00,SkyWhite,Sim,15.8,1094400,AndroidPie9,OctaCore,2,32,2,132,8,4,Yes,5000,9,175,92,186
Redmi8A(Midnihtrey32),8498.00,Midnihtrey,Sim,15.8,1094400,AndroidPie9,OctaCore,2,32,2,132,8,42,Yes,5000,9,175,92,186
Redmi8A(SkyWhite64),9990.00,SkyWhite,Sim,15.8,1094400,AndroidPie9,OctaCore,1.95,64,3,132,8,34,Yes,5000,75.41,156.48,9.4,191
Redmi8A(SeaBlue64),9990.00,SeaBlue,Sim,15.8,1094400,AndroidPie9,OctaCore,1.95,64,3,132,8,34,Yes,5000,75.41,156.48,9.4,191
RedmiNote6Pro(Black64),11349.00,Black,Sim,15.9,2462400,AndroidOreo8.1,OctaCore,1.8,64,4,125,202,3,Yes,4000,76.4,157.9,8.26,181
RedmiNote7Pro(NeptuneBlue128),16999.00,NeptuneBlue,Sim,16,2527200,AndroidPie9.0,OctaCore,2,128,6,485,13,3,Yes,4000,75.21,159.21,8.1,186
Redmi8A(Midnihtrey64),9999.00,Midnihtrey,Sim,15.8,1094400,AndroidPie9,OctaCore,1.95,64,3,132,8,34,Yes,5000,75.41,156.48,9.4,191
RedmiNote9Pro(lacierWhite128),19999.00,lacierWhite,Sim,16.94,2592000,AndroidPie10,OctaCore,2.3,128,6,48852,16,4,Yes,5020,76.68,165.75,8.8,209
RedmiNote7(SapphireBlue64),14800.00,SapphireBlue,Sim,16,2527200,AndroidPie9.0,OctaCore,2.2,64,4,122,13,3,Yes,4000,75.21,159.21,8.1,186
MiA2(Roseold64),13990.00,Roseold,Sim,15.21,2332800,AndroidOreo8.1,OctaCore,2.2,64,4,2012,20,3,Yes,3010,75.4,158.7,7.3,168
Redmi7A(Matteold32),6699.00,Matteold,Sim,13.84,1036800,AndroidPie9.0,OctaCore,2,32,2,12,5,42,Yes,4000,70.4,146.3,9.55,165
RedmiY2(Roseold32),8689.00,Roseold,Sim,15.21,1036800,AndroidOreo8.0,OctaCore,2,32,3,125,16,342,Yes,3080,77.26,160.73,8.1,
RedmiY1(rey64),11599.00,rey,Sim,13.97,921600,AndroidNouat7.1.2,OctaCore,1.4,64,4,13,16,342,Yes,3080,76.2,153,7.7,154
